experiment,mode,statement_a,statement_b,category,label,graphmed_pred,graphmed_confidence,graphmed_mode,graphmed_runtime_mode,graphmed_provider,baseline_pred,baseline_confidence,baseline_runtime_mode,baseline_provider,llm_prompt_pred,llm_prompt_confidence,llm_prompt_mode,llm_prompt_runtime_mode,llm_prompt_provider
E3,full_stack,Active nitroglycerin prescription,No nitrate medications,drug_conflict,1,1,0.9977312684059143,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,On losartan,No ARB treatment,drug_conflict,1,1,0.9309704303741455,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Taking sertraline,No antidepressant use,drug_conflict,1,1,0.9757840037345886,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Insulin lispro with meals,No rapid-acting insulin,drug_conflict,1,1,0.9917200803756714,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Apixaban currently prescribed,No anticoagulation plan,drug_conflict,1,1,0.9935158491134644,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No known drug allergies,Allergy to penicillin with rash,allergy_or_diagnosis,1,1,0.9907158613204956,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Denies peanut allergy,Severe peanut anaphylaxis history,allergy_or_diagnosis,1,1,0.9970965385437012,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No history of diabetes,Diagnosed with type 2 diabetes,allergy_or_diagnosis,1,1,0.9972467422485352,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No chronic kidney disease,Stage 3 CKD documented,allergy_or_diagnosis,1,1,0.9716414213180542,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Denies asthma,Persistent asthma diagnosis,allergy_or_diagnosis,1,1,0.9769119620323181,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No hypertension,Hypertension remains uncontrolled,allergy_or_diagnosis,1,1,0.9708379507064819,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No coronary artery disease,Known CAD with prior stent,allergy_or_diagnosis,1,1,0.9914385080337524,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No thyroid disease,Hypothyroidism diagnosis present,allergy_or_diagnosis,1,1,0.9839112758636475,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No heart failure,HFrEF listed in active problems,allergy_or_diagnosis,1,1,0.994716227054596,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,No medication allergies,Allergic reaction to sulfa drugs,allergy_or_diagnosis,1,1,0.9794089198112488,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
